profile_a,profile_b,feature_distance,moderation_distance
profile_0063,profile_0353,5.873270106580713,127.3184982632139
profile_0063,profile_0355,6.65058497409047,99.13122616007531
profile_0063,profile_0360,12.099351968037238,131.70421405558744
profile_0063,profile_0364,8.532030749817968,98.78258955909183
profile_0063,profile_0368,10.697186734087142,117.2945011498834
profile_0063,profile_0372,8.65791825471686,111.97321108193691
profile_0063,profile_0390,9.393671255520713,144.52681412111733
profile_0063,profile_0391,10.088184568563117,123.40583454602137
profile_0063,profile_0393,10.631411350707175,107.2147377928986
profile_0063,profile_0395,6.92278250676684,119.15536076903967
profile_0063,profile_0397,9.503491209754474,114.11835960966141
profile_0063,profile_0416,7.9815044905884305,131.34306224540373
profile_0063,profile_0424,6.866367636737057,130.9083648969767
profile_0063,profile_0427,6.296944278050693,101.21264743103995
profile_0063,profile_0433,9.600242709022586,133.91415160467545
profile_0063,profile_0445,7.669070907061942,140.52401929919313
profile_0063,profile_0458,6.65846640612784,112.26308386998818
profile_0063,profile_0466,10.872281012229063,117.46063170271135
profile_0063,profile_0472,9.447113507229496,125.88883985484972
profile_0063,profile_0475,7.254073396684205,111.95534824205586
profile_0063,profile_0486,10.069781349240857,133.36791218280356
profile_0063,profile_0503,8.09138543856717,134.68852957843143
profile_0063,profile_0509,6.794148527779914,122.35603785674003
profile_0063,profile_0519,5.722776150722994,125.02799686470227
profile_0063,profile_0521,7.518559615340076,113.5825690852254
profile_0063,profile_0533,7.488184887593884,143.81585448065175
profile_0063,profile_0535,6.728931960776086,144.16310207539237
profile_0063,profile_0542,8.646042329384128,147.31598691248686
profile_0063,profile_0560,6.979161971468721,108.4250893474384
profile_0063,profile_0579,7.875954166954294,155.3673067282818
profile_0063,profile_0585,9.824220367301612,102.95630140987001
profile_0063,profile_0590,5.415825456002126,127.38131731144878
profile_0063,profile_0596,7.951244315033353,133.71237788626752
profile_0063,profile_0608,5.761778419848223,136.7808466123821
profile_0063,profile_0610,8.653814589820197,107.91200118615167
profile_0063,profile_0613,11.370285327881819,100.84641788382967
profile_0063,profile_0618,9.604610263535289,129.3290377293514
profile_0063,profile_0633,11.39001569609779,121.17342943071307
profile_0063,profile_0641,7.010163784447839,112.88489712977551
profile_0063,profile_0645,12.248639663270161,141.07444843060702
profile_0063,profile_0649,10.771343942136147,134.65882815471105
